Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60769.3,-4.815485,58.42504,-22.95613,89.44923,-0.007891699,1,7.427709,53.98318,4.55557,0,0
60769.4,-6.436834,57.86818,-25.88368,89.02625,0.009577595,1,7.170238,53.98318,4.55557,0,0
60769.5,-9.840741,57.86818,-25.88368,89.02625,0.009577595,1,7.170238,53.98318,4.55557,0,0
60769.6,-8.464443,57.89836,-27.43808,88.47693,0.01765385,1,6.95342,53.98318,4.55557,0,0
60769.7,-10.13497,57.89836,-27.43808,88.47693,0.01765385,1,6.95342,53.98318,4.55557,0,0
60769.8,-14.19263,58.47991,-25.09275,90.98184,0.008677795,1,6.736601,53.98318,4.55557,0,0
60769.9,22.6437,58.47991,-25.09275,90.98184,0.008677795,1,6.736601,52.59038,4.55557,1,0
60770,-13.3189,57.83527,-23.99423,94.39864,0.001523285,1,6.49268,49.80476,4.55557,0,0
60770.1,-17.27879,57.83527,-23.99423,94.39864,0.001523285,1,6.49268,49.80476,4.55557,0,0
60770.2,-27.72234,57.16045,-24.59292,94.05806,0.000700297,1,6.289414,49.80476,4.55557,0,0
60770.3,-6.494209,57.16045,-24.59292,94.05806,0.000700297,1,6.289414,49.80476,4.55557,0,0
60770.4,-5.888628,56.65845,-25.29048,93.62958,0.000480833,1,6.072595,49.80476,4.55557,0,0
60770.5,-6.205759,56.65845,-25.29048,93.62958,0.000480833,1,6.072595,49.80476,4.55557,0,0
60770.6,-7.975875,56.08514,-25.55962,94.70626,0.002774227,1,5.855777,49.80476,4.55557,0,0
60770.7,-9.771462,56.08514,-25.55962,94.70626,0.002774227,1,5.855777,49.80476,4.55557,0,0
60770.8,-11.50182,56.00559,-26.05944,93.88777,0.002872985,1,5.638959,49.80476,4.55557,0,0
60770.9,-2.48908,56.00559,-26.05944,93.88777,0.002872985,1,5.638959,49.80476,4.55557,0,0
60771,-1.585229,55.69012,-26.35604,93.9372,0.002192648,1,5.435692,49.80476,4.55557,0,0
60771.1,35.4137,55.69012,-26.35604,93.9372,0.002192648,1,5.435692,50.91017,4.55557,1,0
60771.2,9.504659,55.33077,-26.4604,94.47555,0.002379192,1,5.259527,53.12097,4.55557,0,0
